ts,ppg_raw,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr
1781506363240,2063886,4.2057185,-3.6404853,8.054574,0.004886922,-0.017104227,-0.019547688,71
1781506363281,2063886,4.2057185,-3.6404853,8.054574,0.0061086523,-0.028099801,0.0,71
1781506363323,2062523,4.222484,-3.6428804,8.047389,0.013439035,-0.008552114,0.007330383,71
1781506363362,2061690,4.2775702,-3.712337,8.0905,0.0,0.02565634,-0.0012217305,71
1781506363402,2061482,4.217694,-3.62372,8.126426,-0.015882496,0.029321533,-0.014660766,71
1781506363443,2061262,4.2152987,-3.666831,8.11445,-0.012217305,0.007330383,-0.013439035,71
1781506363480,2061262,4.2152987,-3.666831,8.11445,-0.009773844,-0.014660766,0.0012217305,71
1781506363522,2061012,4.222484,-3.712337,8.073734,0.0012217305,-0.0036651916,0.014660766,71
1781506363561,2061252,4.301521,-3.662041,8.0905,0.002443461,0.009773844,0.017104227,70
1781506363600,2061556,4.220089,-3.6141398,8.10966,-0.007330383,0.010995574,-0.008552114,70
1781506363641,2062215,4.2895455,-3.5470781,8.049784,0.0012217305,-0.013439035,-0.02076942,70
1781506363681,2063792,4.1410522,-3.583004,8.054574,0.004886922,-0.037873644,-0.009773844,70
1781506363722,2065587,4.3685827,-3.657251,8.066549,0.002443461,-0.015882496,0.007330383,70
1781506363761,2065587,4.3685827,-3.657251,8.066549,0.0036651916,0.021991149,-0.0061086523,70
1781506363802,2067661,4.1626077,-3.5614486,8.080919,-0.03176499,0.02443461,-0.021991149,70
1781506363843,2067661,4.1626077,-3.5614486,8.080919,-0.013439035,0.009773844,-0.019547688,70
1781506363881,2068818,4.2632,-3.6069546,8.004278,-0.015882496,-0.018325957,-0.007330383,70
1781506363922,2068937,4.222484,-3.6764112,8.018648,-0.0012217305,-0.019547688,0.009773844,70
1781506363964,2068937,4.222484,-3.6764112,8.018648,0.002443461,0.0,0.021991149,70
1781506364002,2063656,4.2991257,-3.578214,8.102475,0.002443461,0.010995574,0.0012217305,70
1781506364040,2063656,4.2991257,-3.578214,8.102475,0.0,-0.012217305,-0.02076942,70
1781506364082,2062246,4.1793733,-3.6021645,8.001883,0.017104227,-0.032986723,-0.012217305,70
1781506364121,2061193,4.256015,-3.6500657,8.0905,0.009773844,-0.028099801,0.014660766,70
1781506364162,2061193,4.256015,-3.6500657,8.0905,0.014660766,0.007330383,0.004886922,70
